Barcode Number,id,Product name,Price,Description,Quantity ,First Name,Last Name,Phone number(Cust),Purchase Date,Last Stock Date,Brand
36800-540,30,"Pail - 4l White, With Handle",$284.88,"Drainage of Left Hand Tendon with Drainage Device, Percutaneous Endoscopic Approach",30,Jerrome,Tubble,350-590-1115,9/9/2021,8/20/2022,TopCare Daytime Severe Cold and Cough
47682-307,31,Steel Wool,$262.25,"Revision of Drainage Device in Scrotum and Tunica Vaginalis, Open Approach",31,Diane-marie,Kenworth,319-373-1289,6/15/2019,8/18/2021,Dover Coldonyl
55111-534,32,Chicken - Tenderloin,$379.97,"Fragmentation in Anus, Percutaneous Approach",32,Tanya,Adlington,385-796-8655,7/9/2020,3/25/2023,Divalproex Sodium
10565-001,33,Mackerel Whole Fresh,$320.10,"Dilation of Right Hand Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",33,Winna,McRinn,122-878-4146,11/26/2019,4/22/2022,Hydrogen Peroxide
15127-010,34,Edible Flower - Mixed,$198.10,"Beam Radiation of Radius/Ulna using Heavy Particles (Protons,Ions)",34,Carri,O'Shesnan,317-753-3842,6/13/2019,3/20/2023,Womens Gentle Laxative
51645-826,35,"Bread - Multigrain, Loaf",$138.33,Computerized Tomography (CT Scan) of Left Lower Leg using High Osmolar Contrast,35,Kaile,Simonian,785-386-5293,12/1/2022,6/22/2022,TELDRIN
55111-343,36,Baking Powder,$429.42,"Removal of Autologous Tissue Substitute from Left Finger Phalanx, Open Approach",36,Jesselyn,Baudouin,146-879-7460,3/22/2022,12/10/2022,Citalopram Hydrobromide
52959-282,37,Tart - Lemon,$146.51,"Reattachment of Ascending Colon, Percutaneous Endoscopic Approach",37,Kristy,Luchetti,706-820-0305,12/5/2020,3/28/2023,Phendimetrazine Tartrate
59779-142,38,Easy Off Oven Cleaner,$106.97,"Dilation of Left Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach",38,Grady,Peasee,145-346-4711,10/23/2018,9/6/2021,CVS Simple Care Protective Rash
52726-4083,39,"Wine - White, Lindemans Bin 95",$72.79,"Extirpation of Matter from Right Lower Extremity Lymphatic, Percutaneous Approach",39,Nanete,Look,798-141-9461,6/29/2022,6/15/2020,Oxygen
11523-0602,40,"Pasta - Linguini, Dry",$411.52,"Drainage of Right Ankle Bursa and Ligament, Open Approach",40,Nelli,Pyzer,863-839-0245,11/21/2022,1/22/2019,Coppertone Sport High Performance
59762-5024,41,Capers - Ox Eye Daisy,$385.25,"Release Vagus Nerve, Open Approach",41,Daisi,Kynd,692-741-0253,10/10/2022,5/4/2021,GABAPENTIN
0904-6073,42,Bagel - Plain,$135.89,"Insertion of Interspinous Process Spinal Stabilization Device into Thoracic Vertebral Joint, Open Approach",42,Ardine,Sleightholme,243-355-0148,1/21/2019,1/10/2020,Divalproex Sodium
0904-6284,43,Pickle - Dill,$453.46,"Extirpation of Matter from Right Patella, Open Approach",43,Hill,Whimpenny,572-734-8069,9/11/2022,1/25/2022,Olanzapine
53808-0713,44,Flour - Masa De Harina Mexican,$53.84,"Supplement Right Temporal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",44,Hedi,Rodden,665-624-5686,11/10/2018,6/12/2020,METFORMIN HYDROCHLORIDE
63654-600,45,Grouper - Fresh,$408.44,"Drainage of Bilateral Fallopian Tubes with Drainage Device, Via Natural or Artificial Opening Endoscopic",45,Fran,Sales,576-247-0499,2/16/2020,8/21/2019,Cold Medicine
64942-1295,46,Ezy Change Mophandle,$142.34,"Drainage of Glossopharyngeal Nerve, Open Approach, Diagnostic",46,Dougy,Oylett,954-577-4408,10/3/2021,8/4/2020,Degree
55910-489,47,Pails With Lids,$176.82,Plain Radiography of Intracranial Sinuses using Low Osmolar Contrast,47,Corry,Lennard,258-207-5458,12/4/2021,12/18/2019,DG health calcium antacid
57520-0519,48,Salad Dressing,$391.93,"Repair Left Fallopian Tube, Percutaneous Endoscopic Approach",48,Patty,Rowling,984-280-7906,8/9/2018,4/9/2020,Grain and Seed Antigen
0378-2023,49,Tomatoes,$21.04,"Removal of Autologous Tissue Substitute from Thoracic Duct, Open Approach",49,Blayne,Fairburne,732-677-2916,8/16/2022,12/24/2019,Irbesartan
35356-533,50,Beer - Fruli,$115.48,"Resection of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic",50,Hynda,Bennetts,848-783-3918,2/1/2022,8/19/2022,Levetiracetam
42719-345,51,Wine - Malbec Trapiche Reserve,$486.27,"Destruction of Right Hand Artery, Percutaneous Endoscopic Approach",51,Jerrylee,Cossey,621-266-5513,10/30/2021,7/29/2022,Stay Clean Foam Hand Sanitizer
76237-107,52,Wild Boar - Tenderloin,$325.89,"Fusion of 2 or more Cervical Vertebral Joints, Anterior Approach, Anterior Column, Open Approach",52,Marney,Angus,493-571-7281,4/20/2021,2/25/2019,Alprazolam
57955-5984,53,Pastry - Butterscotch Baked,$333.67,Stereotactic Gamma Beam Radiosurgery of Ovary,53,Reggie,Joiris,953-785-9278,1/8/2023,8/16/2022,Advanced Arnica
63629-1623,54,Wine - Bouchard La Vignee Pinot,$468.05,"Revision of Internal Fixation Device in Thoracic Vertebral Joint, Percutaneous Approach",54,Matthus,Masselin,589-287-5630,12/28/2021,3/27/2022,Methocarbamol
68436-110,55,Raspberries - Fresh,$416.61,"Fusion of Right Sacroiliac Joint with Nonautologous Tissue Substitute, Percutaneous Approach",55,Noemi,Metzke,494-897-2358,8/29/2021,3/5/2021,Oticin HC
30142-100,56,Asparagus - Mexican,$359.56,"Drainage of Scalp Skin, External Approach, Diagnostic",56,Pip,Howard,328-201-4202,10/31/2019,9/4/2018,acetaminophen
36987-1890,57,Pepper - Chilli Seeds Mild,$349.20,"Supplement Right Lesser Saphenous Vein with Autologous Tissue Substitute, Percutaneous Approach",57,Brocky,Schreurs,907-339-7605,2/27/2020,10/18/2022,Aspergillus niger
63981-110,58,Wine - Merlot Vina Carmen,$334.88,"Supplement Right Middle Ear with Synthetic Substitute, Open Approach",58,Gregoor,Esh,722-348-5659,9/4/2019,7/25/2021,Stool Softener
0179-0115,59,Muffin Mix - Chocolate Chip,$111.58,"Bypass Ascending Colon to Transverse Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",59,Alex,Melledy,683-188-9420,1/8/2019,4/18/2021,IBU
13537-048,60,Soup Campbells - Tomato Bisque,$77.92,"Destruction of Tricuspid Valve, Percutaneous Endoscopic Approach",60,Joycelin,Bathersby,872-561-2654,1/26/2022,12/3/2019,ESIKA
64942-1269,61,Lettuce - Red Leaf,$216.06,Computerized Tomography (CT Scan) of Right Ankle,61,Clarey,Bartomeu,830-291-6525,9/16/2018,7/26/2019,Clear
60505-2742,62,Bacardi Breezer - Tropical,$55.51,High Dose Rate (HDR) Brachytherapy of Trachea using Other Isotope,62,Eduard,Cockshoot,637-329-0084,3/26/2020,11/10/2022,Verapamil
0113-0430,63,Soup - Base Broth Chix,$326.30,"Drainage of Left Inferior Parathyroid Gland, Open Approach",63,Miof mela,Fyfe,857-100-5353,9/16/2021,4/11/2022,Good Sense headache formula
41163-289,64,"Artichoke - Bottom, Canned",$388.35,"Dilation of Right Subclavian Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach",64,Torrin,Seys,537-805-6679,4/29/2020,8/25/2019,Equaline pain relief
57520-0084,65,Squid - Tubes / Tenticles 10/20,$434.69,"Supplement Left Extraocular Muscle with Synthetic Substitute, Open Approach",65,Rocky,Halbord,689-898-9671,8/18/2019,2/23/2023,Diathesis
67296-0580,66,"Soup - Knorr, Veg / Beef",$423.09,"Removal of Autologous Tissue Substitute from Larynx, Via Natural or Artificial Opening Endoscopic",66,Claudell,Fegan,623-468-4962,7/26/2020,7/7/2021,Ciprofloxacin
0078-0439,67,Bacardi Limon,$475.88,"Release Right Large Intestine, Percutaneous Endoscopic Approach",67,Seana,Wilbor,751-852-5557,12/2/2018,6/6/2020,Ritalin
55154-2091,68,Cherries - Frozen,$86.31,Contact Radiation of Salivary Glands,68,Creighton,Brighty,748-991-4406,9/18/2022,7/31/2020,AMLODIPINE BESYLATE
49035-088,69,Juice - Apple 284ml,$491.49,"Drainage of Right Tunica Vaginalis with Drainage Device, Percutaneous Approach",69,Vi,Kowal,972-846-0464,2/9/2019,2/5/2022,Childrens Allergy Relief
0682-0475,70,Cookie Dough - Chunky,$231.37,"Removal of Drainage Device from Mouth and Throat, Percutaneous Approach",70,Erina,Eppson,887-113-2554,10/2/2019,4/24/2022,MAR-COF CG
0093-0309,71,Chinese Foods - Cantonese,$398.26,"Removal of Other Device from Lower Jaw, Percutaneous Endoscopic Approach",71,Winni,Lydall,203-673-7908,4/28/2020,7/21/2022,Clemastine Fumarate
0409-3378,72,Ham - Procutinni,$282.19,"Release Right Knee Bursa and Ligament, Open Approach",72,Davita,Hinstridge,892-785-1791,10/5/2022,9/20/2020,Piperacillin and Tazobactam
0615-6561,73,Bread - Focaccia Quarter,$471.35,"Release Bilateral Carotid Bodies, Percutaneous Endoscopic Approach",73,Liam,Lorroway,616-595-0108,3/31/2022,12/18/2018,BuPROPion Hydrochloride
59011-261,74,V8 - Berry Blend,$319.33,"Destruction of Lumbar Spinal Cord, Percutaneous Endoscopic Approach",74,Emmie,Airs,853-959-3232,11/15/2022,2/17/2020,MS Contin
43251-3323,75,"Gingerale - Schweppes, 355 Ml",$281.36,"Drainage of Amniotic Fluid, Diagnostic from Products of Conception, Via Natural or Artificial Opening",75,Adolpho,Wadly,762-509-9274,4/25/2020,7/29/2022,natralia
10849-003,76,Anchovy Paste - 56 G Tube,$406.76,"Resection of Epiglottis, Via Natural or Artificial Opening",76,Eartha,Trever,642-270-8294,10/10/2020,2/4/2021,Acne Off Acne Treatment
43547-338,77,Tuna - Yellowfin,$311.36,"Dilation of Right Thyroid Artery with Four or More Intraluminal Devices, Open Approach",77,Tine,Linklater,170-169-0556,10/29/2022,12/27/2019,Benazepril Hydrochloride
0409-3380,78,Sole - Fillet,$265.88,"Drainage of Right Shoulder Joint, Open Approach, Diagnostic",78,Olvan,Gibbonson,346-339-7019,11/14/2022,11/4/2019,Sufentanil Citrate
63874-101,79,Sage - Fresh,$160.40,"Extirpation of Matter from Right Palatine Bone, Percutaneous Approach",79,Henriette,Widmore,946-205-5107,10/4/2019,9/6/2019,Amoxicillin
65588-2210,80,Sorrel - Fresh,$99.19,"Occlusion of Right Internal Mammary Artery with Intraluminal Device, Open Approach",80,Cosetta,Cunnah,170-559-1388,9/1/2019,3/18/2022,Maximum-H
0832-1082,81,Bay Leaf,$171.53,"Revision of Nonautologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Endoscopic Approach",81,Ray,Cammell,313-102-7357,7/24/2020,10/23/2021,Benztropine Mesylate
11084-061,82,Pepper - Red Bell,$406.43,"Replacement of Pharynx with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic",82,Clerissa,Baugh,862-857-3008,9/30/2020,8/2/2021,DebMed Antimicrobial Body Wash and Shampoo
57910-403,83,"Red Snapper - Fillet, Skin On",$321.19,"Removal of Nonautologous Tissue Substitute from Lower Jaw, Percutaneous Approach",83,Marvin,Claxson,840-977-3941,1/7/2022,10/31/2018,Ibuprofen
61995-2392,84,Pineapple - Golden,$316.18,"Drainage of Right Femoral Region with Drainage Device, Percutaneous Endoscopic Approach",84,Far,Fellon,592-955-4944,7/22/2022,8/21/2022,Alba Sunblock Mineral Aloe Vanilla SPF 30
0378-5144,85,Mcgillicuddy Vanilla Schnap,$191.43,"Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach",85,Foss,Crookshanks,966-400-0023,8/14/2020,6/18/2022,Donepezil Hydrochloride
54868-5387,86,Pie Shell - 5,$458.93,"Dilation of Left Colic Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach",86,Morie,Tolson,185-481-1593,5/4/2022,4/9/2023,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate"
0115-0522,87,"Beef - Tongue, Fresh",$8.91,"Drainage of Right Lower Extremity Lymphatic, Open Approach",87,Janice,Skillington,457-522-6862,8/13/2018,7/14/2019,Fenofibrate
50523-488,88,Beer - Heinekin,$165.89,"Revision of Autologous Tissue Substitute in Lower Bursa and Ligament, Percutaneous Approach",88,Alis,Robbins,427-277-1930,7/30/2022,6/25/2021,Silky Smooth Anti-Perspirant Deodorant
49349-525,89,"Lettuce - Mini Greens, Whole",$487.52,"Release Perineum Muscle, Open Approach",89,Wright,Sussex,298-116-4711,1/8/2022,1/21/2021,Imipramine Hydrochloride
0002-3233,90,Carbonated Water - Lemon Lime,$499.31,"Occlusion of Left Foot Vein, Percutaneous Approach",90,Norris,Chopping,443-976-4752,5/5/2021,5/31/2021,Symbyax
49288-0648,91,Lamb Rack - Ontario,$12.39,"Excision of Oculomotor Nerve, Percutaneous Approach, Diagnostic",91,Deeann,Brackley,865-713-2022,1/3/2021,4/19/2021,Penicillium camembertii
0573-1905,92,Cleaner - Lime Away,$119.99,"Drainage of Right Axillary Lymphatic, Open Approach",92,Mateo,Bausor,253-974-8791,12/28/2020,10/1/2020,CHAPSTICK CLASSICS CHERRY
50484-303,93,"Lamb - Pieces, Diced",$466.06,"Dilation of Right Popliteal Artery with Four or More Intraluminal Devices, Open Approach",93,Henderson,Daffey,361-660-2634,11/12/2019,9/19/2020,Secura Total Body Foam Cleanser
66116-603,94,Sea Urchin,$202.24,Computerized Tomography (CT Scan) of Right Shoulder,94,Nomi,Flipsen,165-289-5594,8/4/2022,1/23/2023,Prednisolone
31722-522,95,Wine - Acient Coast Caberne,$98.22,"Removal of Infusion Device from Left Tarsal Joint, Open Approach",95,Danny,Moth,643-453-5648,5/6/2022,12/3/2020,Hydralazine Hydrochloride
66116-527,96,"Capon - Breast, Double, Wing On",$450.20,"Bypass Bilateral Ureters to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",96,Rina,Whyley,885-735-4721,3/25/2020,10/25/2022,Cyclobenzaprine Hydrochloride
47593-173,97,Island Oasis - Pina Colada,$255.92,Computerized Tomography (CT Scan) of Left Kidney using Low Osmolar Contrast,97,Timothy,Teggart,716-293-6177,9/10/2021,9/6/2021,Alphadine Scrub Foam
65862-103,98,"Vermouth - Sweet, Cinzano",$427.22,"Dilation of Left Posterior Tibial Artery with Two Intraluminal Devices, Percutaneous Approach",98,Pooh,Belson,108-846-9528,1/14/2022,10/23/2019,Amlodipine Besylate
60675-002,99,Wine - Manischewitz Concord,$123.94,Fluoroscopy of Bladder and Urethra using Low Osmolar Contrast,99,Mirna,Kalewe,239-766-4169,12/7/2019,3/28/2022,I LOVE NY Hand Sanitizer Vanilla Scent
64942-1323,100,Dikon,$257.88,"Excision of Right Ureter, Open Approach",100,Fionna,Hartnell,570-844-4283,3/10/2021,5/21/2020,Degree
43419-305,101,Milk - Homo,$403.36,"Insertion of Intraluminal Device into Left Popliteal Artery, Open Approach",101,Orelle,Kunzelmann,502-422-8260,10/30/2022,11/6/2019,IOPE RETIGEN MOISTURE BASE NATURAL GREEN
59115-139,102,"Juice - Apple, 1.36l",$214.73,"Restriction of Right Peroneal Artery with Intraluminal Device, Percutaneous Approach",102,Felix,Crighton,910-723-0217,12/23/2019,3/27/2022,Prednisone
67938-2029,103,Cardamon Ground,$371.21,"Excision of Scrotum, Percutaneous Approach, Diagnostic",103,Jessica,Vasilchenko,921-979-1805,4/29/2022,8/14/2022,FLAWLESS FINISH PERFECTLY NUDE MAKEUP BROAD SPECTRUM SUNSCREEN SPF 15 SHADE SPICE
49349-339,104,Corn Shoots,$449.49,"Release Right Parietal Bone, Percutaneous Approach",104,Johnathan,Gilliland,795-447-3083,1/13/2021,11/16/2021,Furosemide
0093-5348,105,Bread - Ciabatta Buns,$88.20,"Insertion of Internal Fixation Device into Right Sacroiliac Joint, Open Approach",105,Lulu,Whordley,170-129-0335,5/3/2020,10/5/2019,Methylphenidate Hydrochloride
67979-002,106,Bread Fig And Almond,$279.07,"Reposition Left Tibia, Percutaneous Endoscopic Approach",106,Bellina,Stadding,864-809-1011,11/22/2019,9/14/2018,SUPPRELIN
42291-511,107,Tuna - Bluefin,$161.28,"Excision of Left Lacrimal Duct, Open Approach, Diagnostic",107,Gibby,Sang,700-395-8061,8/23/2022,12/14/2019,Primidone
11819-365,108,Basil - Fresh,$225.78,"Reposition Left Lower Femur with Monoplanar External Fixation Device, Percutaneous Approach",108,Edouard,Beadman,798-924-8021,5/2/2021,11/15/2022,Ondansetron
0904-6082,109,Oil - Hazelnut,$201.95,"Occlusion of Right External Jugular Vein, Percutaneous Approach",109,Thayne,Deppe,573-785-6550,12/28/2018,2/12/2019,Zolpidem tartrate
41163-580,110,"Nut - Hazelnut, Whole",$383.95,"Excision of Left Vocal Cord, Via Natural or Artificial Opening",110,Olivia,Bestwick,221-889-6432,7/5/2020,12/18/2022,Equaline Daytime Nighttime Cold and Flu Relief
44118-809,111,Basil - Fresh,$405.43,"Revision of Drainage Device in Adrenal Gland, Percutaneous Endoscopic Approach",111,Jeremiah,MacAirt,516-793-4599,10/10/2019,8/10/2021,Duet DHA
52233-005,112,Gelatine Leaves - Envelopes,$204.70,"Bypass Right Popliteal Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach",112,Sherlock,Hellicar,748-988-8034,10/23/2019,11/6/2022,medical air
43857-0042,113,Cake - Cake Sheet Macaroon,$160.55,Computerized Tomography (CT Scan) of Left Clavicle using High Osmolar Contrast,113,Coreen,Insull,789-874-9278,8/11/2021,4/4/2020,Sinuchron HP
0135-0460,114,Container - Foam Dixie 12 Oz,$460.07,"Fragmentation in Left Lower Lobe Bronchus, Open Approach",114,Penelope,Perceval,512-976-4315,10/7/2019,1/30/2023,SENSODYNE
33342-027,115,Container Clear 8 Oz,$195.60,"Insertion of Vascular Access Device into Left Lower Leg Subcutaneous Tissue and Fascia, Open Approach",115,Pooh,Caunt,870-840-1477,7/10/2021,7/7/2021,Donepezil Hydrochloride
59899-003,116,Kippers - Smoked,$105.03,"Excision of Cervicothoracic Vertebral Joint, Percutaneous Approach, Diagnostic",116,Minerva,Jennrich,524-302-0296,9/26/2021,3/15/2021,Antiperspirant
76478-289,117,Foil Cont Round,$181.95,"Bypass Left Pleural Cavity to Lower Vein with Synthetic Substitute, Open Approach",117,Abraham,World,339-101-3635,9/24/2022,12/3/2019,EMLA
51672-1258,118,"Wine - White, Ej Gallo",$2.82,Planar Nuclear Medicine Imaging of Left Upper Extremity Veins using Other Radionuclide,118,Blake,Smith,205-732-1261,9/1/2022,3/18/2020,Clobetasol Propionate
36987-3129,119,"Cheese - Cheddar, Old White",$203.88,"Supplement Right Neck Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",119,Leona,Gerardeaux,970-705-6289,2/22/2021,10/6/2018,Dandelion
0268-0072,120,Sausage - Andouille,$249.26,Ultrasonography of Bilateral Kidneys,120,Aurea,Lochhead,173-858-1546,3/23/2022,3/11/2021,CENTER-AL - ULMUS PUMILA POLLEN
0548-5604,121,Maple Syrup,$372.45,"Change Other Device in Nose, External Approach",121,Charlie,Gerhts,187-294-2533,5/5/2019,10/6/2018,Enoxaparin Sodium
0135-0091,122,"Wine - Red, Cabernet Sauvignon",$27.27,"Excision of Right Shoulder Region, Open Approach",122,Alanah,Hickeringill,479-121-6061,12/15/2018,2/22/2020,DEBROX
53603-3002,123,Tuna - Bluefin,$60.64,"Revision of Infusion Device in Endocrine Gland, Percutaneous Approach",123,Ryann,Knell,630-316-5344,6/30/2020,4/22/2021,ANTIBACTERIAL WIPES Lemon Drop
57896-761,124,"Bread - Crumbs, Bulk",$431.04,"Bypass Portal Vein to Lower Vein with Synthetic Substitute, Percutaneous Endoscopic Approach",124,Mayer,Vasilechko,704-524-5945,2/10/2020,9/12/2018,Lansoprazole
52544-082,125,Nantucket - Orange Mango Cktl,$223.18,"Replacement of Scalp Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Percutaneous Approach",125,Thacher,Linggood,555-677-4828,10/7/2022,3/31/2019,Fioricet with Codeine
54569-0918,126,Muffin - Mix - Mango Sour Cherry,$112.50,"Supplement Cervical Vertebral Joint with Synthetic Substitute, Open Approach",126,Nancey,Hissett,274-447-4533,8/20/2018,2/9/2020,Armour Thyroid
0378-1430,127,Oil - Cooking Spray,$402.28,"Removal of Tracheostomy Device from Trachea, Percutaneous Endoscopic Approach",127,Ilsa,Bohlsen,460-776-6122,2/10/2023,8/29/2018,Nicardipine Hydrochloride
0603-0213,128,"Nut - Pistachio, Shelled",$194.83,"Occlusion of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening",128,Othello,Espinoza,999-501-0670,6/27/2019,2/22/2023,Magnesium Oxide
67296-0369,129,Pork - Hock And Feet Attached,$49.06,"Occlusion of Right Brachial Artery with Intraluminal Device, Percutaneous Endoscopic Approach",129,Myca,Lambin,185-617-5140,3/9/2023,12/19/2020,Ketoprofen
41250-450,130,Parsley Italian - Fresh,$358.93,"Resection of Vagina, Via Natural or Artificial Opening",130,Karalee,Haucke,709-118-2909,11/26/2019,1/19/2021,junior strength acetaminophen
58128-0001,131,Cleaner - Pine Sol,$66.55,"Insertion of Infusion Device into Right Popliteal Artery, Percutaneous Endoscopic Approach",131,Gay,Kett,173-464-1704,3/28/2021,3/30/2023,Oxygen
36987-2645,132,"Mushroom - Chantrelle, Fresh",$27.73,"Destruction of Buttock Skin, Multiple, External Approach",132,Verney,Farrance,866-175-7479,5/11/2020,6/26/2020,Chinese Elm
